task_id,traj_id,step_id,event
0,0,1,OPEN_REPORTS
0,0,2,OPEN_BESTSELLERS
0,0,3,SET_PERIOD_YEAR
0,0,4,SET_FROM_2022
0,0,5,SET_TO_2022
0,0,6,CLICK_SHOW_REPORT
0,0,7,SCROLL_RESULTS
0,0,8,EXTRACT_TOP1_PRODUCT
0,1,1,OPEN_REPORTS
0,1,2,OPEN_BESTSELLERS
0,1,3,SET_PERIOD_YEAR
0,1,4,SET_FROM_2022
0,1,5,SET_TO_2022
0,1,6,CLICK_SHOW_REPORT
0,1,7,SCROLL_RESULTS
0,1,8,EXTRACT_TOP1_PRODUCT
0,2,1,OPEN_REPORTS
0,2,2,OPEN_BESTSELLERS
0,2,3,SET_PERIOD_YEAR
0,2,4,SET_FROM_2022
0,2,5,SET_TO_2022
0,2,6,CLICK_SHOW_REPORT
0,2,7,SCROLL_RESULTS
0,2,8,EXTRACT_TOP1_PRODUCT
0,3,1,OPEN_REPORTS
0,3,2,OPEN_BESTSELLERS
0,3,3,SET_PERIOD_YEAR
0,3,4,CLICK_SHOW_REPORT
0,3,5,SET_FROM_2022
0,3,6,SET_TO_2022
0,3,7,EXTRACT_TOP1_PRODUCT
0,4,1,OPEN_REPORTS
0,4,2,OPEN_BESTSELLERS
0,4,3,SET_FROM_2022
0,4,4,SET_TO_2022
0,4,5,CLICK_SHOW_REPORT
0,4,6,SCROLL_RESULTS
0,4,7,EXTRACT_TOP1_PRODUCT
